"Customer ID",Recency_Score,Frequency_Score,Monetary_Score,RFM_Score
17151,4,2,2,422
13021,4,2,2,422
14080,1,2,2,122
13211,4,2,2,422
14967,3,2,2,322
14087,3,2,2,322
13234,5,2,2,522
17414,3,2,2,322
15421,5,2,2,522
15884,3,2,2,322
14307,5,2,2,522
16395,5,2,2,522
14654,1,2,2,122
17238,1,2,2,122
14667,2,2,2,222
14108,1,2,2,122
13019,4,2,2,422
15712,1,2,2,122
14709,4,2,2,422
18168,3,2,2,322
14905,3,2,2,322
17476,2,2,2,222
15255,3,2,2,322
12970,3,2,2,322
17244,5,2,3,523
15602,2,2,3,223
17191,1,2,3,123
13648,1,2,3,123
15380,1,2,3,123
17530,5,2,3,523
14560,2,2,3,223
13589,4,3,3,433
15309,3,3,3,333
17017,3,3,3,333
17063,1,3,3,133
17329,3,3,3,333
13946,3,3,3,333
15059,4,3,3,433
17642,4,3,3,433
14341,1,3,3,133
14478,1,3,3,133
16329,1,3,3,133
13813,4,3,3,433
16086,2,3,3,233
14110,1,3,3,133
17231,5,3,3,533
15353,2,3,3,233
12600,5,3,3,533
14771,2,3,3,233
15983,4,3,3,433
16335,4,3,3,433
15793,1,3,3,133
17441,5,3,3,533
15265,1,3,3,133
16233,2,3,3,233
16497,3,3,3,333
16558,3,3,3,333
18181,4,3,3,433
14894,2,3,3,233
16156,2,3,3,233
14896,4,3,3,433
15057,4,3,3,433
13394,1,3,3,133
14133,4,3,3,433
13267,5,3,3,533
16202,2,3,3,233
16451,4,3,3,433
15326,1,3,3,133
17519,1,3,3,133
15755,4,3,3,433
12417,4,3,3,433
15362,1,3,3,133
13481,3,3,3,333
14738,5,3,3,533
15680,2,3,3,233
13740,1,3,3,133
13531,2,3,3,233
18061,4,3,3,433
13905,5,3,3,533
13037,2,3,3,233
13468,2,3,3,233
14898,3,3,3,333
14549,2,3,3,233
17851,3,3,3,333
16159,3,3,3,333
16891,4,3,3,433
13175,3,3,3,333
15984,1,3,3,133
16791,3,3,3,333
17209,3,3,3,333
14408,5,3,3,533
17576,3,3,3,333
15658,3,3,3,333
15005,1,3,3,133
17345,1,3,3,133
13148,5,3,3,533
17157,4,3,3,433
17990,5,3,3,533
14653,2,3,3,233
13329,3,3,3,333
15194,3,3,3,333
13154,3,3,3,333
14952,3,3,3,333
13611,2,3,3,233
14644,2,3,3,233
16722,3,3,3,333
16711,2,3,3,233
17411,3,3,3,333
12839,5,3,3,533
13999,4,3,3,433
16192,4,3,3,433
17018,4,3,3,433
16763,1,3,3,133
14479,4,3,3,433
17457,5,3,3,533
16139,3,3,4,334
15694,5,3,4,534
13110,1,3,4,134
16746,4,3,4,434
13590,1,3,4,134
16393,1,3,4,134
14204,1,3,4,134
12779,2,3,4,234
14735,3,3,4,334
15953,3,3,4,334
16656,4,3,4,434
14061,1,3,4,134
17610,5,3,4,534
16701,1,3,4,134
18162,5,4,4,544
15719,1,4,4,144
12747,5,4,4,544
18229,3,4,4,344
13635,1,4,4,144
16717,5,4,4,544
16003,3,4,4,344
17270,5,4,4,544
14159,2,4,4,244
12842,1,4,4,144
17406,5,4,4,544
12872,2,4,4,244
17768,2,4,4,244
15078,3,4,4,344
17739,5,4,4,544
12540,5,4,4,544
12836,1,4,4,144
16541,4,4,4,444
12682,1,4,4,144
15291,3,4,4,344
17115,4,4,4,444
12510,3,4,4,344
14123,4,4,4,444
14979,3,4,4,344
12975,4,4,4,444
17412,2,4,4,244
15358,5,4,4,544
17364,5,4,4,544
13495,5,4,4,544
16723,4,4,4,444
16124,5,4,4,544
15822,4,4,4,444
13800,2,4,4,244
12443,5,4,4,544
16167,1,4,4,144
18108,2,4,4,244
17069,3,4,4,344
15768,3,4,4,344
17611,1,4,4,144
12759,3,4,4,344
13408,3,4,4,344
16612,3,4,4,344
14396,1,4,4,144
17716,2,4,4,244
14680,3,4,4,344
15514,4,4,4,444
17858,5,4,4,544
16563,1,4,4,144
16550,2,4,4,244
14546,4,4,4,444
15240,4,4,4,444
13097,1,4,4,144
13993,2,4,4,244
15413,1,4,4,144
12437,1,4,4,144
15051,1,4,4,144
17853,3,4,4,344
14841,2,4,4,244
12490,1,4,4,144
17508,5,4,4,544
14739,2,4,4,244
16485,5,4,4,544
13680,3,4,4,344
13819,1,4,4,144
13319,4,4,4,444
13078,1,4,4,144
13174,3,4,4,344
14040,1,4,4,144
16210,2,4,4,244
13623,1,4,4,144
13599,1,4,4,144
13753,2,4,4,244
16718,5,4,5,545
13042,5,4,5,545
15547,4,4,5,445
14828,5,4,5,545
12714,3,4,5,345
15484,4,4,5,445
16104,4,4,5,445
13162,3,4,5,345
17700,1,4,5,145
15998,1,4,5,145
13736,4,4,5,445
13786,2,4,5,245
17809,2,4,5,245
14135,1,4,5,145
15466,3,4,5,345
13373,4,4,5,445
12980,1,4,5,145
12359,4,4,5,445
15179,3,4,5,345
16163,2,4,5,245
12583,4,4,5,445
16620,1,4,5,145
14669,2,4,5,245
17160,4,4,5,445
13895,2,4,5,245
13001,2,4,5,245
15808,1,5,5,155
17389,4,5,5,455
14051,2,5,5,255
12533,1,5,5,155
13448,4,5,5,455
14440,1,5,5,155
15555,4,5,5,455
15856,3,5,5,355
14564,3,5,5,355
17044,5,5,5,555
13758,1,5,5,155
12435,1,5,5,155
14961,3,5,5,355
13206,5,5,5,555
18092,4,5,5,455
18223,4,5,5,455
14258,3,5,5,355
16131,2,5,5,255
15382,3,5,5,355
14286,3,5,5,355
12949,2,5,5,255
14299,1,5,5,155
12758,1,5,5,155
14031,2,5,5,255
17511,2,5,5,255
17940,3,5,5,355
15917,2,5,1,251
16686,5,5,2,552
16436,5,5,2,552
13269,1,5,2,152
16964,5,5,2,552
17287,3,5,2,352
13984,5,5,2,552
17913,3,5,3,353
15751,4,5,3,453
15260,5,5,3,553
17998,2,5,3,253
15482,3,5,3,353
17961,4,5,3,453
13313,1,5,4,154
18087,1,5,4,154
17465,3,5,4,354
16700,2,5,4,254
14755,2,5,4,254
14606,4,5,4,454
17679,3,5,4,354
12835,3,5,4,354
16353,5,5,4,554
15542,2,5,4,254
13564,5,5,4,554
15615,2,5,5,255
14543,5,5,5,555
16710,5,5,5,555
14548,4,5,5,455
12913,5,5,5,555
15794,3,5,5,355
16525,5,5,5,555
13958,4,5,5,455
14831,2,5,5,255
17920,5,5,5,555
15523,2,5,5,255
15601,3,5,5,355
15485,1,5,5,155
14695,5,5,5,555
13093,3,5,5,355
16200,2,5,5,255
17377,2,5,5,255
16684,5,5,5,555
12471,5,5,5,555
13526,1,5,5,155
13931,2,5,5,255
12921,2,5,5,255
17243,4,5,5,455
12931,2,5,5,255
17428,1,5,5,155
17593,4,5,5,455
16736,4,5,5,455
13089,5,5,5,555
14527,3,5,5,355
13767,5,5,5,555
14646,2,5,5,255
17884,5,5,3,553
14156,2,5,5,255
14911,5,5,5,555
16779,5,5,5,555
13777,3,5,5,355
18102,3,5,5,355
17581,3,5,4,354
13085,2,5,5,255
17841,5,5,5,555
15311,4,5,5,455
17865,5,5,5,555
13694,5,5,5,555
15061,3,5,5,355
15581,4,5,5,455
17949,3,5,5,355
17850,5,5,5,555
