"Customer ID",LastPurchaseDate,Frequency,Monetary
13319,"2009-12-06 14:46:00",1,626.6
13329,"2009-12-04 15:41:00",1,334.65
13373,"2009-12-06 12:34:00",1,748.42
13381,"2009-12-01 15:19:00",1,17.4
13394,"2009-12-01 11:58:00",1,304.53
13408,"2009-12-04 09:31:00",1,510.64
13416,"2009-12-03 13:02:00",1,228.3
13442,"2009-12-01 14:59:00",1,198
13448,"2009-12-06 12:14:00",1,933.35
13457,"2009-12-02 12:46:00",1,112.5
13468,"2009-12-03 13:32:00",1,314.22
13481,"2009-12-04 12:37:00",1,311.2
13485,"2009-12-03 13:46:00",1,165.3
13487,"2009-12-05 10:25:00",1,103.95
13491,"2009-12-07 08:24:00",1,221.9
13495,"2009-12-07 12:12:00",1,452.16
13526,"2009-12-01 13:13:00",2,1182
13531,"2009-12-03 15:20:00",1,311.7
13564,"2009-12-07 12:08:00",2,544.25
13585,"2009-12-01 14:56:00",1,12.75
13589,"2009-12-06 10:26:00",1,269.15
13590,"2009-12-01 13:37:00",1,367.28
13599,"2009-12-01 12:30:00",1,641.45
13611,"2009-12-03 07:57:00",1,337.93
13623,"2009-12-02 13:57:00",1,637.04
13635,"2009-12-01 09:46:00",1,382.37
13641,"2009-12-05 13:17:00",1,224.1
13648,"2009-12-01 18:13:00",1,263.09
13654,"2009-12-02 11:43:00",1,159.98
13666,"2009-12-04 10:48:00",1,19.5
13679,"2009-12-04 16:52:00",1,126.8
13680,"2009-12-04 14:14:00",1,621.22
13693,"2009-12-07 11:29:00",1,173.55
13694,"2009-12-07 16:28:00",5,3434.93
13733,"2009-12-04 15:28:00",1,149.1
13736,"2009-12-06 12:07:00",1,720.79
13740,"2009-12-02 12:22:00",1,311.69
13748,"2009-12-01 16:44:00",1,173.1
13753,"2009-12-03 10:20:00",1,642.2
13758,"2009-12-01 10:06:00",1,996.1
13767,"2009-12-07 16:17:00",2,1913.84
13777,"2009-12-04 10:52:00",3,6394.82
13782,"2009-12-06 12:52:00",1,132.4
13786,"2009-12-03 15:32:00",1,723.09
13800,"2009-12-03 10:03:00",1,478.7
13807,"2009-12-04 12:41:00",1,107.95
13813,"2009-12-06 10:16:00",1,283.15
13819,"2009-12-01 16:18:00",1,622.1
13890,"2009-12-06 15:15:00",1,213.65
13895,"2009-12-03 13:09:00",1,831
13905,"2009-12-07 11:41:00",1,312.65
13931,"2009-12-03 10:28:00",2,1215.7
13946,"2009-12-04 11:07:00",1,280.2
13948,"2009-12-04 12:14:00",1,155.65
13958,"2009-12-05 13:13:00",2,811.55
13979,"2009-12-03 10:02:00",1,203.78
13984,"2009-12-07 11:52:00",2,259.5
13993,"2009-12-03 11:57:00",1,556.75
13999,"2009-12-05 12:42:00",1,350.55
14000,"2009-12-02 09:50:00",1,192
14003,"2009-12-07 08:53:00",1,209.41
14031,"2009-12-03 15:35:00",1,2506.14
14037,"2009-12-07 11:39:00",1,218.33
14040,"2009-12-01 12:14:00",1,633.33
14051,"2009-12-03 11:53:00",1,912.56
14057,"2009-12-03 13:17:00",1,119.54
14061,"2009-12-01 18:03:00",1,374.43
14080,"2009-12-02 15:01:00",1,234.87
14087,"2009-12-04 15:27:00",1,236.69
14106,"2009-12-02 14:09:00",1,214.8
14108,"2009-12-01 18:07:00",1,252.3
14110,"2009-12-01 09:50:00",1,285.06
14122,"2009-12-02 14:22:00",1,89.7
14123,"2009-12-06 15:35:00",1,436.18
14133,"2009-12-06 12:10:00",1,305.5
14135,"2009-12-02 08:58:00",1,740.3
14156,"2009-12-03 18:13:00",3,1635.98
14159,"2009-12-03 12:31:00",1,393.65
14204,"2009-12-02 13:26:00",1,371.27
14238,"2009-12-05 10:58:00",1,159.1
14239,"2009-12-05 12:36:00",1,136.75
14258,"2009-12-04 08:36:00",1,1261
14286,"2009-12-04 08:40:00",1,1610.52
14299,"2009-12-02 10:58:00",1,2052.12
14302,"2009-12-02 08:16:00",1,114.6
14307,"2009-12-07 13:06:00",1,242.1
14341,"2009-12-01 12:20:00",1,281.82
14347,"2009-12-03 10:49:00",1,82.6
14396,"2009-12-02 14:21:00",1,514.97
14408,"2009-12-07 12:18:00",1,321
14425,"2009-12-02 11:31:00",1,223.1
14440,"2009-12-02 12:13:00",1,935.01
14454,"2009-12-06 12:56:00",1,125.94
14467,"2009-12-02 12:44:00",1,109.84
14468,"2009-12-06 12:21:00",1,204.24
14471,"2009-12-07 12:26:00",1,208.83
14478,"2009-12-01 13:20:00",1,282.28
14479,"2009-12-06 13:48:00",1,355.13
14483,"2009-12-03 10:16:00",1,120
14512,"2009-12-07 13:49:00",1,153.28
14527,"2009-12-04 12:59:00",2,1685.89
14540,"2009-12-07 13:00:00",1,156.5
14543,"2009-12-07 11:55:00",2,656.55
14546,"2009-12-06 13:10:00",1,547.73
14548,"2009-12-06 14:06:00",2,680.28
14549,"2009-12-02 14:06:00",1,316.22
14560,"2009-12-02 10:15:00",1,266.6
14564,"2009-12-04 09:27:00",1,989.18
14574,"2009-12-07 12:42:00",1,143.7
14590,"2009-12-07 14:10:00",1,108.4
14606,"2009-12-06 14:54:00",2,450.13
14608,"2009-12-06 12:34:00",1,211.62
14644,"2009-12-03 16:24:00",1,338.5
14646,"2009-12-02 16:53:00",2,5711.04
14653,"2009-12-02 11:51:00",1,333.67
14654,"2009-12-01 12:57:00",1,246.86
14662,"2009-12-03 16:47:00",1,110.7
14667,"2009-12-02 12:38:00",1,251.17
14669,"2009-12-02 13:06:00",1,824.18
14670,"2009-12-07 13:59:00",1,190.47
14680,"2009-12-04 12:36:00",1,521.38
14695,"2009-12-07 13:07:00",2,984.03
14709,"2009-12-05 15:26:00",1,256.2
14710,"2009-12-03 17:12:00",1,39.2
14713,"2009-12-03 19:22:00",1,160.69
14717,"2009-12-06 13:05:00",1,81.3
14723,"2009-12-04 11:22:00",1,141.63
14735,"2009-12-04 11:32:00",1,371.85
14738,"2009-12-07 10:21:00",1,311.2
14739,"2009-12-02 13:23:00",1,618.43
14750,"2009-12-03 17:57:00",1,112.03
14755,"2009-12-03 16:52:00",2,445.15
14771,"2009-12-03 09:44:00",1,287.37
14799,"2009-12-02 11:18:00",1,180.45
14828,"2009-12-07 11:19:00",1,682.4
14831,"2009-12-02 09:23:00",2,833.75
14838,"2009-12-03 09:52:00",1,119.1
14841,"2009-12-02 16:49:00",1,597.4
14865,"2009-12-01 16:05:00",1,31.2
14867,"2009-12-05 15:47:00",1,203.32
14871,"2009-12-01 11:57:00",1,145
14894,"2009-12-02 10:42:00",1,299.7
14896,"2009-12-06 12:42:00",1,302.5
14898,"2009-12-03 16:40:00",1,314.37
14905,"2009-12-03 14:36:00",1,258.1
14911,"2009-12-07 13:49:00",3,2374.93
14915,"2009-12-03 10:17:00",1,202.06
14940,"2009-12-06 15:46:00",1,182.01
14952,"2009-12-03 15:34:00",1,337.9
14955,"2009-12-07 11:35:00",1,163.77
14958,"2009-12-03 16:02:00",1,186.36
14961,"2009-12-04 11:32:00",1,1058.4
14967,"2009-12-03 14:07:00",1,236.25
14979,"2009-12-04 12:54:00",1,439.46
14980,"2009-12-02 14:09:00",1,150.68
14987,"2009-12-02 14:56:00",1,206.85
15005,"2009-12-01 14:19:00",1,322.33
15051,"2009-12-01 13:29:00",1,580.02
15057,"2009-12-05 15:27:00",1,304.1
15059,"2009-12-06 12:17:00",1,280.94
15061,"2009-12-03 13:58:00",5,6256.74
15078,"2009-12-04 12:03:00",1,410
15109,"2009-12-04 12:33:00",1,231.2
15115,"2009-12-07 11:20:00",1,191.74
15179,"2009-12-03 12:27:00",1,763.35
15194,"2009-12-03 10:37:00",1,336
15223,"2009-12-05 11:19:00",1,230.2
15240,"2009-12-05 14:57:00",1,549.77
15255,"2009-12-03 09:10:00",1,260.44
15260,"2009-12-07 10:38:00",2,294.85
15265,"2009-12-01 17:08:00",1,294.14
15287,"2009-12-02 12:13:00",1,58.2
15291,"2009-12-03 11:09:00",1,430.9
15309,"2009-12-04 13:01:00",1,273.75
15311,"2009-12-06 14:03:00",4,1728.21
15326,"2009-12-01 13:19:00",1,307.8
15353,"2009-12-02 11:33:00",1,285.59
15358,"2009-12-07 12:19:00",1,446.4
15362,"2009-12-01 09:08:00",1,310.75
15380,"2009-12-01 13:50:00",1,263.42
15382,"2009-12-04 14:13:00",1,1523.2
15413,"2009-12-01 10:18:00",1,570.24
15420,"2009-12-05 13:29:00",1,97.11
15421,"2009-12-07 15:10:00",1,241.05
15466,"2009-12-03 12:28:00",1,744.21
15479,"2009-12-06 15:08:00",1,147.4
15482,"2009-12-03 10:23:00",2,325.08
15484,"2009-12-05 15:18:00",1,689.5
15485,"2009-12-01 17:50:00",2,901.84
15514,"2009-12-04 16:37:00",1,532.28
15523,"2009-12-02 15:17:00",2,897.8
15542,"2009-12-02 12:06:00",2,540.73
15547,"2009-12-06 13:40:00",1,671.56
15550,"2009-12-03 15:15:00",1,160.35
15555,"2009-12-06 11:58:00",1,950.69
15571,"2009-12-06 12:10:00",1,118.26
15581,"2009-12-04 11:54:00",6,647.11
15601,"2009-12-03 15:49:00",2,901.13
15602,"2009-12-02 09:35:00",1,261.3
15615,"2009-12-02 15:29:00",2,643.1
15641,"2009-12-06 15:31:00",1,150.4
15658,"2009-12-03 11:19:00",1,321.65
15662,"2009-12-01 13:49:00",1,105.85
15680,"2009-12-02 12:15:00",1,311.5
15684,"2009-12-04 16:13:00",1,109.4
15691,"2009-12-06 16:01:00",1,161.8
15694,"2009-12-07 15:43:00",1,357.87
15712,"2009-12-01 11:17:00",1,255.5
15716,"2009-12-07 12:42:00",1,214.17
15719,"2009-12-01 12:47:00",1,379.65
15750,"2009-12-01 17:19:00",1,222.12
15751,"2009-12-06 13:21:00",2,278.94
15755,"2009-12-04 08:24:00",1,308.75
15759,"2009-12-02 10:08:00",1,125.73
15768,"2009-12-03 12:10:00",1,503.93
15793,"2009-12-01 12:54:00",1,291.58
15794,"2009-12-03 13:04:00",2,777
15808,"2009-12-01 16:30:00",1,896.54
15822,"2009-12-06 15:12:00",1,474.32
15833,"2009-12-02 11:59:00",1,80.4
15856,"2009-12-03 14:02:00",1,952.61
15860,"2009-12-06 12:31:00",1,204.65
15878,"2009-12-06 12:28:00",1,212.13
15884,"2009-12-03 18:23:00",1,241.8
15917,"2009-12-02 15:44:00",2,106.67
15945,"2009-12-01 13:47:00",1,124.83
15953,"2009-12-03 14:00:00",1,372.2
15965,"2009-12-03 11:45:00",1,169.5
15967,"2009-12-01 13:29:00",1,156.71
15983,"2009-12-06 12:52:00",1,289.3
15984,"2009-12-01 13:38:00",1,319.66
15989,"2009-12-02 15:51:00",1,143.11
15998,"2009-12-01 11:45:00",1,700.31
15999,"2009-12-04 12:31:00",1,20.4
16003,"2009-12-03 18:51:00",1,387.87
16011,"2009-12-01 12:02:00",1,192.75
16018,"2009-12-07 13:57:00",1,195.78
16086,"2009-12-02 13:20:00",1,284.55
16104,"2009-12-06 10:41:00",1,689.9
16124,"2009-12-07 10:33:00",1,463
16126,"2009-12-02 13:34:00",1,174.1
16131,"2009-12-02 10:09:00",1,1317.97
16139,"2009-12-03 13:51:00",1,355.59
16156,"2009-12-02 17:06:00",1,300.1
16158,"2009-12-05 15:00:00",1,146.62
16159,"2009-12-03 11:51:00",1,317.55
16163,"2009-12-02 10:00:00",1,795.98
16167,"2009-12-01 10:46:00",1,485.79
16168,"2009-12-03 12:38:00",1,189.15
16192,"2009-12-04 12:28:00",1,351.3
16200,"2009-12-02 15:15:00",2,1043.81
16202,"2009-12-02 10:48:00",1,306.95
16210,"2009-12-02 12:54:00",1,634.29
16233,"2009-12-02 13:23:00",1,294.3
16277,"2009-12-06 11:27:00",1,188.69
16301,"2009-12-03 10:20:00",1,107.33
16321,"2009-12-01 10:36:00",1,196.1
16325,"2009-12-04 13:21:00",1,164.03
16329,"2009-12-01 11:34:00",1,282.46
16335,"2009-12-04 10:18:00",1,290.48
16351,"2009-12-04 16:12:00",1,216.6
16353,"2009-12-07 13:56:00",2,513.9
16393,"2009-12-01 12:13:00",1,367.41
16395,"2009-12-06 12:26:00",1,242.96
16410,"2009-12-05 14:51:00",1,130.32
16436,"2009-12-07 17:49:00",2,192.45
16451,"2009-12-04 15:11:00",1,307.65
16467,"2009-12-02 11:59:00",1,131.12
16485,"2009-12-06 12:28:00",1,619.24
16497,"2009-12-03 14:11:00",1,294.85
16525,"2009-12-07 12:41:00",2,784.8
16541,"2009-12-04 13:22:00",1,424.03
16550,"2009-12-02 11:24:00",1,538.77
16556,"2009-12-07 10:51:00",1,187.19
16558,"2009-12-03 18:11:00",1,297.05
16563,"2009-12-01 18:35:00",1,538.46
16593,"2009-12-05 10:44:00",1,79.6
16612,"2009-12-03 15:54:00",1,510.87
16620,"2009-12-01 14:35:00",1,822.37
16645,"2009-12-04 09:49:00",1,160.39
16656,"2009-12-04 12:59:00",1,373.74
16684,"2009-12-07 12:58:00",2,1149.12
16686,"2009-12-06 15:51:00",2,167.14
16699,"2009-12-04 13:31:00",1,137.4
16700,"2009-12-02 10:52:00",2,418.7
16701,"2009-12-01 19:19:00",1,378.12
16702,"2009-12-07 16:40:00",1,221.52
16710,"2009-12-06 13:49:00",2,664.6
16711,"2009-12-02 13:22:00",1,340.2
16717,"2009-12-07 15:55:00",1,386.39
16718,"2009-12-06 13:07:00",1,647.82
16722,"2009-12-03 19:23:00",1,339.78
16723,"2009-12-04 13:23:00",1,460.55
16736,"2009-12-04 10:39:00",2,1363.98
16746,"2009-12-04 13:00:00",1,367.1
16763,"2009-12-01 15:26:00",1,352.85
16768,"2009-12-07 11:47:00",1,224.98
16773,"2009-12-06 15:01:00",1,137.75
16779,"2009-12-06 13:00:00",3,2686.91
16791,"2009-12-03 18:08:00",1,319.87
16797,"2009-12-02 13:33:00",1,176.88
16823,"2009-12-02 09:57:00",1,189.3
16883,"2009-12-04 12:07:00",1,108.95
16887,"2009-12-01 13:41:00",1,219.82
16891,"2009-12-04 12:37:00",1,317.83
16918,"2009-12-03 12:27:00",1,221.69
16964,"2009-12-06 12:53:00",2,207.85
16987,"2009-12-02 14:34:00",1,157.91
17017,"2009-12-03 13:22:00",1,277.5
17018,"2009-12-05 10:27:00",1,351.6
17019,"2009-12-02 11:52:00",1,216.86
17035,"2009-12-03 10:37:00",1,54.6
17044,"2009-12-07 12:25:00",1,990.48
17056,"2009-12-01 12:55:00",1,128.6
17063,"2009-12-01 12:36:00",1,278.61
17069,"2009-12-03 12:27:00",1,500.55
17076,"2009-12-04 12:12:00",1,67.68
17085,"2009-12-06 12:16:00",1,183.6
17087,"2009-12-02 10:41:00",1,221.53
17115,"2009-12-05 12:13:00",1,434.15
17127,"2009-12-04 15:18:00",1,137.95
17150,"2009-12-06 10:51:00",1,139.25
17151,"2009-12-04 14:56:00",1,231.9
17155,"2009-12-03 11:34:00",1,143.06
17157,"2009-12-04 13:00:00",1,332.16
17160,"2009-12-04 10:57:00",1,825.94
17189,"2009-12-02 11:45:00",1,230.46
17191,"2009-12-01 16:34:00",1,261.74
17193,"2009-12-02 10:02:00",1,45
17209,"2009-12-03 11:10:00",1,320.4
17231,"2009-12-07 16:38:00",1,285.35
17238,"2009-12-01 10:59:00",1,251.1
17243,"2009-12-04 14:37:00",2,1262.47
17244,"2009-12-06 11:27:00",1,260.65
17246,"2009-12-01 17:45:00",1,23.48
17270,"2009-12-07 17:18:00",1,389.62
17271,"2009-12-03 13:49:00",1,210.39
17287,"2009-12-03 12:50:00",2,250.21
17293,"2009-12-03 15:09:00",1,115.51
17314,"2009-12-03 11:25:00",1,154.2
17322,"2009-12-03 11:46:00",1,114.55
17329,"2009-12-03 16:09:00",1,279.42
17343,"2009-12-03 18:30:00",1,197.3
17345,"2009-12-01 16:17:00",1,329.91
17364,"2009-12-07 15:28:00",1,449.95
17372,"2009-12-03 18:41:00",1,151.65
17377,"2009-12-02 13:00:00",2,1052.04
17389,"2009-12-04 12:06:00",1,908.04
17406,"2009-12-06 13:45:00",1,406.7
17411,"2009-12-03 12:02:00",1,344.4
17412,"2009-12-02 13:51:00",1,445.7
17414,"2009-12-03 16:49:00",1,239.68
17421,"2009-12-04 15:43:00",1,130.8
17428,"2009-12-01 17:28:00",2,1292.5
17432,"2009-12-03 19:13:00",1,174.85
17436,"2009-12-07 12:31:00",1,76.5
17441,"2009-12-07 13:32:00",1,293.35
17457,"2009-12-07 14:52:00",1,355.38
17465,"2009-12-03 13:26:00",2,408.37
17476,"2009-12-02 12:09:00",1,260.36
17508,"2009-12-07 11:46:00",1,610.95
17511,"2009-12-02 10:52:00",1,3108.64
17519,"2009-12-01 09:57:00",1,308.44
17530,"2009-12-06 16:17:00",1,263.68
17557,"2009-12-07 10:15:00",1,34
17561,"2009-12-06 13:29:00",1,192.27
17576,"2009-12-03 16:54:00",1,321.21
17581,"2009-12-03 12:37:00",4,402.2
17592,"2009-12-01 10:49:00",1,148.3
17593,"2009-12-05 12:01:00",2,1295.96
17606,"2009-12-02 13:32:00",1,87.3
17610,"2009-12-06 16:07:00",1,378.05
17611,"2009-12-01 13:29:00",1,507.49
17642,"2009-12-05 16:01:00",1,281.02
17660,"2009-12-02 16:02:00",1,163.47
17679,"2009-12-03 17:33:00",2,465
17700,"2009-12-01 11:37:00",1,696.73
17707,"2009-12-07 12:19:00",1,51
17716,"2009-12-02 17:18:00",1,520.2
17739,"2009-12-07 10:48:00",1,411.2
17742,"2009-12-01 13:16:00",1,218.55
17764,"2009-12-03 14:28:00",1,194.65
17768,"2009-12-02 12:26:00",1,408.07
17804,"2009-12-01 12:22:00",1,124.95
17809,"2009-12-02 14:52:00",1,734.7
17818,"2009-12-02 11:34:00",1,130.18
17841,"2009-12-07 15:27:00",4,1288.29
17848,"2009-12-06 13:19:00",1,175.2
17850,"2009-12-07 14:27:00",15,7411.14
17851,"2009-12-03 17:46:00",1,317.04
17853,"2009-12-03 15:09:00",1,584.35
17858,"2009-12-06 15:41:00",1,533.97
17865,"2009-12-07 15:02:00",5,2444.77
17867,"2009-12-02 13:39:00",1,85.95
17884,"2009-12-07 15:15:00",3,348.36
17909,"2009-12-02 13:10:00",1,132.55
17913,"2009-12-03 13:05:00",2,277.35
17916,"2009-12-06 14:10:00",1,25.46
17920,"2009-12-06 11:13:00",2,884.45
17935,"2009-12-04 14:33:00",1,106.25
17940,"2009-12-03 12:31:00",1,4380
17949,"2009-12-03 15:56:00",7,4619.16
17961,"2009-12-04 15:16:00",2,328.23
17969,"2009-12-06 13:53:00",1,101.4
17984,"2009-12-01 11:51:00",1,229.46
17988,"2009-12-07 13:35:00",1,164.75
17990,"2009-12-07 15:19:00",1,332.7
17998,"2009-12-02 10:02:00",2,319.19
18001,"2009-12-02 15:38:00",1,176.6
18037,"2009-12-01 13:48:00",1,21.95
18061,"2009-12-04 11:36:00",1,312.21
18071,"2009-12-05 10:31:00",1,227.25
18077,"2009-12-07 11:40:00",1,211.62
18087,"2009-12-01 09:44:00",2,394.74
18092,"2009-12-04 12:37:00",1,1077.6
18102,"2009-12-03 13:42:00",3,20761.24
18108,"2009-12-02 12:47:00",1,493.25
18162,"2009-12-07 13:24:00",1,379.16
18168,"2009-12-03 17:29:00",1,257.62
18181,"2009-12-04 15:30:00",1,298.99
18219,"2009-12-07 13:17:00",1,151.72
18223,"2009-12-04 12:20:00",1,1185.16
18225,"2009-12-04 16:52:00",1,59.5
18229,"2009-12-03 14:42:00",1,381
